from_stop_id,to_stop_id,route_id,travel_time_s,operator
12002114,12000007,30000001,36,rapidbus_penang
12000007,12001916,30000001,51,rapidbus_penang
12001916,12001918,30000001,43,rapidbus_penang
12001918,12001920,30000001,35,rapidbus_penang
12001920,12001922,30000001,58,rapidbus_penang
12001922,12001064,30000001,45,rapidbus_penang
12001064,12001061,30000001,29,rapidbus_penang
12001061,12002116,30000001,112,rapidbus_penang
12002116,12000356,30000001,140,rapidbus_penang
12000356,12000357,30000001,82,rapidbus_penang
12000357,12000358,30000001,41,rapidbus_penang
12000358,12003016,30000001,80,rapidbus_penang
12003016,12000360,30000001,38,rapidbus_penang
12000360,12000972,30000001,60,rapidbus_penang
12000972,12000718,30000001,42,rapidbus_penang
12000718,12000719,30000001,26,rapidbus_penang
12000719,12000720,30000001,39,rapidbus_penang
12000720,12000721,30000001,24,rapidbus_penang
12000721,12000722,30000001,23,rapidbus_penang
12000722,12000723,30000001,32,rapidbus_penang
12000723,12000724,30000001,48,rapidbus_penang
12000724,12000726,30000001,43,rapidbus_penang
12000726,12000727,30000001,46,rapidbus_penang
12000727,12001644,30000001,108,rapidbus_penang
12001644,12001646,30000001,64,rapidbus_penang
12001646,12001648,30000001,49,rapidbus_penang
12001648,12001650,30000001,54,rapidbus_penang
12001650,12001652,30000001,36,rapidbus_penang
12001652,12001654,30000001,58,rapidbus_penang
12001654,12001655,30000001,45,rapidbus_penang
12001655,12002249,30000001,43,rapidbus_penang
12002249,12001658,30000001,54,rapidbus_penang
12001658,12001659,30000001,68,rapidbus_penang
12001659,12001661,30000001,48,rapidbus_penang
12001661,12001663,30000001,64,rapidbus_penang
12001663,12001672,30000001,203,rapidbus_penang
12001672,12001675,30000001,85,rapidbus_penang
12001675,12001673,30000001,43,rapidbus_penang
12001673,12001668,30000001,52,rapidbus_penang
12001668,12001669,30000001,36,rapidbus_penang
12001669,12001676,30000001,45,rapidbus_penang
12001676,12003014,30000001,60,rapidbus_penang
12003014,12000212,30000001,63,rapidbus_penang
12000212,12000222,30000001,102,rapidbus_penang
12000222,12000227,30000001,104,rapidbus_penang
12000227,12000234,30000001,90,rapidbus_penang
12000234,12000229,30000001,35,rapidbus_penang
12000229,12002250,30000001,57,rapidbus_penang
12002250,12000231,30000001,57,rapidbus_penang
12000231,12002210,30000001,58,rapidbus_penang
12002210,12000238,30000001,45,rapidbus_penang
12000238,12000235,30000001,153,rapidbus_penang
12000235,12000225,30000001,43,rapidbus_penang
12000225,12000223,30000001,58,rapidbus_penang
12000223,12000220,30000001,39,rapidbus_penang
12000220,12000218,30000001,41,rapidbus_penang
12000218,12000216,30000001,48,rapidbus_penang
12000216,12000214,30000001,30,rapidbus_penang
12000214,12000210,30000001,43,rapidbus_penang
12000210,12000207,30000001,83,rapidbus_penang
12000207,12002251,30000001,51,rapidbus_penang
12002251,12000204,30000001,52,rapidbus_penang
12000204,12000202,30000001,260,rapidbus_penang
12000202,12002975,30000001,228,rapidbus_penang
12002975,12001766,30000001,60,rapidbus_penang
12001766,12001763,30000001,51,rapidbus_penang
12001763,12002223,30000001,38,rapidbus_penang
12002223,12002224,30000001,24,rapidbus_penang
12002224,12002200,30000001,64,rapidbus_penang
12002200,12001752,30000001,51,rapidbus_penang
12001752,12001750,30000001,29,rapidbus_penang
12001750,12001754,30000001,33,rapidbus_penang
12001754,12001756,30000001,102,rapidbus_penang
12001756,12001760,30000001,79,rapidbus_penang
12001760,12001757,30000001,65,rapidbus_penang
12001757,12002252,30000001,35,rapidbus_penang
12002252,12001765,30000001,52,rapidbus_penang
12001765,12001761,30000001,61,rapidbus_penang
12001761,12001758,30000001,39,rapidbus_penang
12001758,12001759,30000001,38,rapidbus_penang
12001759,12001762,30000001,30,rapidbus_penang
12001762,12001764,30000001,121,rapidbus_penang
12001764,12001767,30000001,81,rapidbus_penang
12001767,12002976,30000001,31,rapidbus_penang
12002976,12000203,30000001,220,rapidbus_penang
12000203,12000205,30000001,264,rapidbus_penang
12000205,12002230,30000001,55,rapidbus_penang
12002230,12000206,30000001,40,rapidbus_penang
12000206,12002204,30000001,81,rapidbus_penang
12002204,12000215,30000001,81,rapidbus_penang
12000215,12000217,30000001,44,rapidbus_penang
12000217,12000221,30000001,49,rapidbus_penang
12000221,12000224,30000001,42,rapidbus_penang
12000224,12000228,30000001,57,rapidbus_penang
12000228,12000236,30000001,45,rapidbus_penang
12000236,12000239,30000001,49,rapidbus_penang
12000239,12000237,30000001,107,rapidbus_penang
12000237,12002253,30000001,51,rapidbus_penang
12002253,12000232,30000001,55,rapidbus_penang
12000232,12000230,30000001,108,rapidbus_penang
12000230,12000233,30000001,35,rapidbus_penang
12000233,12000226,30000001,104,rapidbus_penang
12000226,12000219,30000001,102,rapidbus_penang
12000219,12000213,30000001,95,rapidbus_penang
12000213,12000208,30000001,46,rapidbus_penang
12000208,12001677,30000001,84,rapidbus_penang
12001677,12001671,30000001,45,rapidbus_penang
12001671,12001670,30000001,44,rapidbus_penang
12001670,12001678,30000001,60,rapidbus_penang
12001678,12001679,30000001,46,rapidbus_penang
12001679,12001674,30000001,51,rapidbus_penang
12001674,12001667,30000001,113,rapidbus_penang
12001667,12001664,30000001,107,rapidbus_penang
12001664,12001662,30000001,63,rapidbus_penang
12001662,12001660,30000001,55,rapidbus_penang
12001660,12001657,30000001,82,rapidbus_penang
12001657,12001656,30000001,66,rapidbus_penang
12001656,12001653,30000001,78,rapidbus_penang
12001653,12001651,30000001,48,rapidbus_penang
12001651,12001649,30000001,68,rapidbus_penang
12001649,12001647,30000001,70,rapidbus_penang
12001647,12001645,30000001,62,rapidbus_penang
12001645,12000105,30000001,41,rapidbus_penang
12000105,12000102,30000001,64,rapidbus_penang
12000102,12000101,30000001,45,rapidbus_penang
12000101,12000371,30000001,48,rapidbus_penang
12000371,12000369,30000001,57,rapidbus_penang
12000369,12000368,30000001,44,rapidbus_penang
12000368,12000367,30000001,41,rapidbus_penang
12000367,12000365,30000001,78,rapidbus_penang
12000365,12000363,30000001,56,rapidbus_penang
12000363,12000362,30000001,37,rapidbus_penang
12000362,12000361,30000001,35,rapidbus_penang
12000361,12001084,30000001,96,rapidbus_penang
12001084,12001083,30000001,38,rapidbus_penang
12001083,12000833,30000001,49,rapidbus_penang
12000833,12000832,30000001,52,rapidbus_penang
12000832,12000831,30000001,45,rapidbus_penang
12000831,12000829,30000001,51,rapidbus_penang
12000829,12000828,30000001,78,rapidbus_penang
12000828,12001060,30000001,41,rapidbus_penang
12001060,12001832,30000001,86,rapidbus_penang
12001832,12001835,30000001,57,rapidbus_penang
12001835,12001399,30000001,34,rapidbus_penang
12001399,12001397,30000001,31,rapidbus_penang
12001397,12001921,30000001,57,rapidbus_penang
12001921,12001919,30000001,53,rapidbus_penang
12001919,12001917,30000001,62,rapidbus_penang
12001917,12002318,30000001,63,rapidbus_penang
12002318,12002056,30000001,42,rapidbus_penang
12002056,12002058,30000001,77,rapidbus_penang
12002058,12002971,30000001,26,rapidbus_penang
12002971,12001943,30000001,20,rapidbus_penang
